NUTS code,x1997,GVA_%_1997,x1998,GVA_%_1998,x1999,GVA_%_1999,x2000,GVA_%_2000,x2001,GVA_%_2001,x2002,GVA_%_2002,x2003,GVA_%_2003,x2004,GVA_%_2004,x2005,GVA_%_2005,x2006,GVA_%_2006,x2007,GVA_%_2007,x2008,GVA_%_2008,x2009,GVA_%_2009,x2010,GVA_%_2010,x2011,GVA_%_2011,x2012,GVA_%_2012,x2013,GVA_%_2013,x2014,GVA_%_2014,x2015,GVA_%_2015,x2016,GVA_%_2016,x2017,GVA_%_2017,Percentage_change
UKH23,17422,118.48,18553,121.48,19510,123.81,20705,124.82,21309,124.07,21983,122.58,23170,122.56,23481,119.22,24982,120.63,25233,116.18,25658,113.33,27212,117.68,26118,116.15,25733,112.97,25480,109.82,25914,108.97,27171,110.72,28412,111.51,29221,112.44,30514,114.08,31761,115.79,-2.7
UKI75,19106,129.94,20481,134.1,21741,137.97,23161,139.63,23180,134.96,24136,134.58,25168,133.13,25587,129.91,26308,127.04,27349,125.93,29034,128.24,30097,130.15,28002,124.53,28458,124.93,29239,126.02,31327,131.74,33419,136.18,36430,142.97,39206,150.87,41344,154.56,41612,151.7,21.77
UKJ34,10874,73.95,10840,70.97,11239,71.32,12603,75.98,13109,76.33,13236,73.8,13489,71.35,13539,68.74,14437,69.71,15397,70.9,15465,68.31,16792,72.62,15905,70.73,16144,70.87,16585,71.48,16886,71.01,17312,70.54,18494,72.58,19397,74.64,19582,73.21,19911,72.59,-1.36
UKI33,32879,223.61,34943,228.79,35707,226.6,38097,229.67,38646,225.01,39701,221.37,41579,219.94,43439,220.55,45722,220.78,47309,217.83,51768,228.66,54801,236.99,52932,235.4,55985,245.77,58542,252.31,61805,259.9,63536,258.9,64557,253.36,65664,252.68,69379,259.37,74035,269.91,46.3
UKJ43,12748,86.7,13035,85.35,13355,84.75,13298,80.17,13700,79.77,14454,80.6,15614,82.59,15900,80.73,17008,82.13,17295,79.63,17831,78.76,18723,80.97,17381,77.3,17737,77.87,18069,77.88,18953,79.7,19519,79.54,20088,78.84,21275,81.87,21422,80.09,21641,78.9,-7.8
UKE11,11333,77.07,11572,75.77,11736,74.48,13036,78.59,13235,77.06,14258,79.5,15689,82.99,16219,82.35,16601,80.16,17615,81.11,18616,82.23,18328,79.26,19344,86.03,18510,81.26,18882,81.38,19284,81.09,19437,79.2,19619,77,20185,77.67,20865,78,21217,77.35,0.28
UKI45,16163,109.92,17145,112.26,17902,113.61,19454,117.28,20043,116.7,20832,116.16,22096,116.88,23193,117.75,24569,118.64,24942,114.84,27245,120.34,29857,129.12,28732,127.78,28945,127.07,29831,128.57,30987,130.31,30946,126.1,33523,131.57,34126,131.32,33456,125.07,34935,127.36,17.44
UKD44,10967,74.59,11374,74.47,11708,74.3,11886,71.65,12292,71.57,12871,71.77,14011,74.11,15110,76.72,15419,74.46,16055,73.92,16856,74.45,17132,74.09,16293,72.46,16244,71.31,16144,69.58,16520,69.47,16939,69.02,17729,69.58,18161,69.88,18338,68.56,18559,67.66,-6.93
UKE42,15114,102.79,15960,104.5,16716,106.08,17396,104.87,18318,106.66,19326,107.76,20672,109.35,21968,111.54,23136,111.72,24255,111.68,25199,111.3,25792,111.54,25325,112.63,24926,109.43,25794,111.17,25563,107.5,26495,107.96,27024,106.06,28310,108.94,29052,108.61,29823,108.72,5.94
UKF21,13962,94.95,14402,94.3,14894,94.52,15533,93.64,15993,93.12,16840,93.9,17818,94.25,18149,92.15,18399,88.85,19234,88.56,18915,83.55,19238,83.19,18746,83.37,18636,81.81,18911,81.51,19845,83.45,20216,82.38,21209,83.24,22009,84.69,22184,82.93,21914,79.89,-15.06
UKF22,14064,95.65,14357,94,13550,85.99,14364,86.59,14789,86.11,15092,84.15,16361,86.54,17088,86.76,17975,86.8,19092,87.91,20141,88.96,20169,87.22,19398,86.27,19835,87.08,19746,85.1,20432,85.92,21139,86.14,22460,88.15,22672,87.24,23411,87.52,23900,87.13,-8.52
UKI44,17903,121.76,18816,123.2,19615,124.48,21346,128.68,22055,128.41,22778,127.01,24069,127.32,25102,127.45,26830,129.56,27446,126.37,29812,131.68,30539,132.07,29065,129.26,31435,138,32076,138.25,33076,139.09,32961,134.31,33559,131.71,34040,130.99,34239,128,35090,127.93,6.17
UKF30,12091,82.23,12488,81.77,12324,78.21,12579,75.83,13424,78.16,13931,77.68,14900,78.82,14376,72.99,14763,71.29,15638,72,16192,71.52,16796,72.63,15912,70.76,16583,72.8,16861,72.67,17344,72.94,18126,73.86,18785,73.72,18610,71.61,18533,69.28,18959,69.12,-13.11
UKD72,11876,80.77,12958,84.84,13895,88.18,14661,88.38,14996,87.31,16127,89.92,17457,92.34,17871,90.73,18494,89.3,20634,95.01,21027,92.88,21928,94.83,24009,106.77,23144,101.6,22093,95.22,21771,91.55,21885,89.18,22846,89.66,23218,89.34,22875,85.52,23368,85.19,4.42
UKH21,14184,96.46,14535,95.17,15552,98.69,15805,95.28,16847,98.09,17726,98.84,18754,99.2,18427,93.56,20256,97.81,22277,102.57,23984,105.94,25804,111.59,23455,104.31,21990,96.54,21139,91.11,20618,86.7,21084,85.91,22198,87.12,23147,89.07,24293,90.82,26083,95.09,-1.37
UKD33,16936,115.18,18245,119.46,19390,123.05,19641,118.4,21626,125.92,22801,127.14,23478,124.19,25215,128.02,25725,124.22,27529,126.76,28340,125.18,27960,120.91,28696,127.62,28634,125.7,27953,120.48,28936,121.68,30629,124.81,31376,123.14,31927,122.86,34358,128.45,35410,129.09,13.91
UKJ41,10490,71.34,10801,70.72,11313,71.79,11821,71.26,12156,70.78,13036,72.69,13778,72.88,13898,70.56,14780,71.37,15505,71.39,15353,67.81,15830,68.46,15355,68.29,15576,68.38,15346,66.14,16381,68.89,16971,69.15,16987,66.67,18520,71.27,18770,70.17,19115,69.69,-1.65
