"","LAD19NM","LAD19CD","LAD19NMW","nuts318cd"
"319","Belfast","N09000003"," ","UKN06"
"320","Causeway Coast and Glens","N09000004"," ","UKN12"
"321","Derry City and Strabane","N09000005"," ","UKN10"
"322","Fermanagh and Omagh","N09000006"," ","UKN16"
"323","Lisburn and Castlereagh","N09000007"," ","UKN14"
"324","Mid and East Antrim","N09000008"," ","UKN15"
"325","Mid Ulster","N09000009"," ","UKN11"
"326","Newry, Mourne and Down","N09000010"," ","UKN08"
"327","Ards and North Down","N09000011"," ","UKN09"
"328","Clackmannanshire","S12000005"," ","UKM72"
"329","Dumfries and Galloway","S12000006"," ","UKM92"
"330","East Ayrshire","S12000008"," ","UKM93"
"331","East Lothian","S12000010"," ","UKM73"
"332","East Renfrewshire","S12000011"," ","UKM83"
"333","Na h-Eileanan Siar","S12000013"," ","UKM64"
"334","Falkirk","S12000014"," ","UKM76"
"335","Highland","S12000017"," ","UKM61"
"336","Inverclyde","S12000018"," ","UKM83"
"337","Midlothian","S12000019"," ","UKM73"
"338","Moray","S12000020"," ","UKM62"
"339","North Ayrshire","S12000021"," ",NA
"340","Orkney Islands","S12000023"," ",NA
"341","Scottish Borders","S12000026"," ","UKM91"
"342","Shetland Islands","S12000027"," ","UKM66"
"343","South Ayrshire","S12000028"," ","UKM94"
"344","South Lanarkshire","S12000029"," ","UKM95"
"345","Stirling","S12000030"," ","UKM77"
"346","Aberdeen City","S12000033"," ","UKM50"
"347","Aberdeenshire","S12000034"," ","UKM50"
"348","Argyll and Bute","S12000035"," ","UKM63"
"349","City of Edinburgh","S12000036"," ","UKM75"
"350","Renfrewshire","S12000038"," ","UKM83"
"351","West Dunbartonshire","S12000039"," ","UKM81"
"352","West Lothian","S12000040"," ","UKM78"
"353","Angus","S12000041"," ","UKM71"
"354","Dundee City","S12000042"," ","UKM71"
"355","East Dunbartonshire","S12000045"," ","UKM81"
"356","Fife","S12000047"," ","UKM72"
"357","Perth and Kinross","S12000048"," ","UKM77"
"358","Glasgow City","S12000049"," ","UKM82"
"359","North Lanarkshire","S12000050"," ","UKM84"
"360","Isle of Anglesey","W06000001","Ynys Môn","UKL11"
"361","Gwynedd","W06000002","Gwynedd","UKL12"
"362","Conwy","W06000003","Conwy","UKL13"
